조사연도,노선명,시점이정,종점이정,개통연도,차로,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
2019,당직영덕선A,112.3,118.4,2016,4,8340,188,780,242,150,152,45,12,0,34,0,13
2019,당직영덕선A,118.4,137.6,2016,4,4906,208,761,272,131,151,53,10,0,26,0,13
2019,당직영덕선A,137.6,150.8,2016,4,9604,379,1415,447,184,269,107,13,0,35,0,12
2019,당직영덕선A,150.8,160.5,2016,4,5233,238,837,263,123,170,89,12,0,50,0,12
2019,당직영덕선A,160.5,187.4,2016,4,6968,149,630,173,92,97,39,8,0,27,0,7
2019,통영대전중부선,0,4.4,2005,4,16667,630,2813,1409,695,398,70,149,0,256,0,147
2019,통영대전중부선,4.4,14.6,2005,4,17715,377,1946,892,426,218,52,77,0,146,0,60
2019,통영대전중부선,14.6,19.7,2005,4,21645,1070,3275,1791,760,435,114,150,2,247,0,190
2019,통영대전중부선,19.7,37,2005,4,14518,708,2180,1197,505,287,71,97,1,166,0,123
2019,통영대전중부선,37,47.9,2005,4,15126,585,1333,775,254,158,51,35,1,81,0,53
2019,통영대전중부선,47.9,55.4,1996,4,16824,1097,7452,1451,2861,1320,1769,292,6,469,17,848
2019,통영대전중부선,55.4,70.9,1998,4,14022,902,6117,1193,2292,1084,1457,249,6,388,13,644
2019,통영대전중부선,70.9,89.5,1998,4,13722,887,6018,1179,2267,1073,1444,244,5,381,13,636
2019,통영대전중부선,89.5,96.9,1998,4,13184,856,5813,1141,2208,1039,1404,231,5,369,13,618
2019,통영대전중부선,96.9,105.2,1998,4,13930,881,6564,1166,2448,1144,1568,233,5,381,13,702
2019,통영대전중부선,105.2,111.6,2001,4,13680,892,5890,1191,2296,1069,1458,244,5,386,13,638
2019,통영대전중부선,111.6,125.5,2001,4,15582,1243,4273,1736,2229,995,1366,292,7,634,18,503
2019,통영대전중부선,125.5,135.1,2001,4,16854,1552,2267,2216,2039,863,1215,318,9,837,20,324
2019,통영대전중부선,135.1,149.6,2001,4,14367,1150,2131,727,997,371,499,1,0,177,22,59
2019,통영대전중부선,149.6,165.6,2001,4,13774,1110,2059,702,990,360,485,1,0,162,17,56
2019,통영대전중부선,165.6,184.7,2000,4,14354,1160,2142,725,1024,372,505,1,0,177,18,59
2019,통영대전중부선,184.7,196,2000,4,18505,1502,2800,942,1297,490,678,5,0,235,30,78
2019,통영대전중부선,196,204.4,2000,4,23271,1763,3446,1164,1473,532,723,7,0,265,32,78
2019,통영대전중부선,204.4,207.7,2000,4,28770,1271,3729,1584,968,396,245,44,1,99,4,25
